Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,5.06,5.08,4.8,5,9/02/2021 17:38,CET,48454,240405.25
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris,EUR,10.65,10.764,10.502,10.56,9/02/2021 17:37,CET,45101,476269.85
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris,EUR,0.54,0.55,0.54,0.55,9/02/2021 17:15,CET,220000,120850
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,4.69,4.78,4.64,4.76,9/02/2021 17:35,CET,14242,66953.24
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,40.48,40.79,39.95,40,9/02/2021 17:35,CET,200121,8058387.99
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,16.72,16.94,16.3,16.34,9/02/2021 17:35,CET,196217,3243375.72
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,7.37,7.37,7.31,7.32,9/02/2021 17:35,CET,12336,90338.46
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,11,11.1,10.9,11.1,9/02/2021 17:35,CET,20830,229650.1
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,0.907,0.907,0.895,0.896,9/02/2021 17:35,CET,45401,40873.75
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,32.25,32.5,32,32.3,9/02/2021 17:35,CET,23383,753446.55
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,8.5,8.586,8.386,8.55,9/02/2021 17:35,CET,4982374,42399781.74
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.427,0.427,0.419,0.425,9/02/2021 15:43,CET,241,101.03
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,30.35,30.9,30.25,30.75,9/02/2021 17:35,CET,42736,1309552.5
ACCOR,FR0000120404,AC,Euronext Paris,EUR,31.17,31.71,30.89,30.92,9/02/2021 17:35,CET,799234,24895035.35
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.64,1.65,1.61,1.635,9/02/2021 17:35,CET,150108,245330.1
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,3.64,3.64,3.45,3.6,9/02/2021 17:35,CET,4019,14179.72
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,3.05,3.07,3,3.025,9/02/2021 17:27,CET,66431,201048.27
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.09,0.09,0.09,0.09,9/02/2021 16:30,CET,25528,2297.52
ADL PARTNER,FR0000062978,ALP,Euronext Paris,EUR,15.05,15.05,15,15.05,9/02/2021 16:32,CET,536,8054.3
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,10.72,10.72,10.4,10.6,9/02/2021 17:35,CET,15716,165687.46
ADP,FR0010340141,ADP,Euronext Paris,EUR,106.4,107.1,102.5,103,9/02/2021 17:38,CET,63862,6635585.6
ADUX,FR0012821890,ADUX,Euronext Paris Amsterdam,EUR,2.5,2.5,2.45,2.45,9/02/2021 17:29,CET,8244,20520.09
ADVENIS,FR0004152874,ADV,Euronext Paris,EUR,2.05,2.06,1.97,1.98,9/02/2021 17:29,CET,1515,3097.66
ADVICENNE,FR0013296746,ADVIC,Euronext Paris Brussels,EUR,12.7,12.8,12.2,12.55,9/02/2021 17:35,CET,71901,898200
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,20.6,20.6,19.6,20.2,9/02/2021 17:02,CET,1191,23825.8
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1900,1911.5,1881.5,1901.5,9/02/2021 17:35,CET,65773,124970611.5
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR,3.633,3.667,3.605,3.667,9/02/2021 17:35,CET,12804434,46742629.81
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,5.6,5.6,5.25,5.25,9/02/2021 17:01,CET,327,1727.85
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam Brussels,EUR,23.3,23.32,23.09,23.23,9/02/2021 17:35,CET,2673003,62009246.51
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris Amsterdam,EUR,5.036,5.036,4.917,4.926,9/02/2021 17:35,CET,2550189,12640169.92
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,136.5,137.5,135.95,137.5,9/02/2021 17:36,CET,640339,87778726.7
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,93.97,94.89,91.91,92.47,9/02/2021 17:35,CET,1325928,123525268.8
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,15.7,15.78,15.6,15.7,9/02/2021 17:29,CET,1712,26839.48
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris Brussels,EUR,25.6,25.6,24.8,25.2,9/02/2021 17:36,CET,32756,823960.85
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,22.85,23.1,22.2,23,9/02/2021 17:35,CET,9260,210357.6
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,86.74,86.94,85.48,86.1,9/02/2021 17:35,CET,494542,42549163.04
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,42.65,42.75,41.55,42.45,9/02/2021 17:35,CET,101575,4279210.55
ALD,FR0013258662,ALD,Euronext Paris,EUR,12.16,12.2,12.04,12.16,9/02/2021 17:35,CET,39327,476959.16
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,88.5,88.5,86.5,86.7,9/02/2021 17:38,CET,129983,11339244.8
